# Fixture del codec de payload, generado por gen_payload_fixture.py.
#
# Lo consume dict-core/src/test/kotlin/.../PayloadCodecTest.kt para comprobar que
# java.util.zip descomprime exactamente lo que zlib comprimio, con el mismo diccionario
# precargado. Sin esto, que los dos lados hagan 'deflate' es un supuesto sin verificar.
#
# Formato:  descripcion <TAB> hex_comprimido <TAB> texto_esperado_con_\n_escapado
# Las dos primeras lineas de datos son el diccionario precargado (DICTIONARY) y su
# sha256 (DICTIONARY_SHA256), para comprobar que los dos lados lo hashean igual.

DICTIONARY	636f7361200a2009207468696e67207468696e67200a200920636f7272657220636f72726572200a20736c6f776c79200a200920706572736f6e20706572736f6e200a20756e6120636f736120636f7361200a205420717569636b6c79200a20092063616d696e61722063616d696e6172200a20706572736f6e61200a20542009207468696e672009207468696e67200a2054200920636f72726572200920636f72726572200a20736c6f776c79200a20542054200920706572736f6e200920706572736f6e200a20756e6120636f7361200a20636f7361200a2054200920717569636b6c79200a2054206d6f766520736c6f776c79205420092063616d696e617220092063616d696e6172200a20756e6120706572736f6e6120706572736f6e61200a205420646520756e6120636f7361200a20542009207468696e6720542009207468696e67200a206d6f766520717569636b6c79200a2054200920636f727265722054200920636f72726572200a20736c6f776c79200a20542009200a2054200920706572736f6e2054200920706572736f6e200a20756e6120636f7361200a205420717569636b6c79200a20542009206d6f766520736c6f776c79200a200a205420092063616d696e6172205420092063616d696e6172200a20756e6120706572736f6e61200a20706572736f6e61200a2054200920646520756e6120636f7361200a206d6f766520717569636b6c79200a20746f206d6f766520736c6f776c7920646520756e6120706572736f6e6120746f206d6f766520717569636b6c79206d6f766520736c6f776c79200a205420756e6120706572736f6e61200a2054206d6f766520717569636b6c79200a2054200920746f206d6f766520736c6f776c7920746f206d6f766520736c6f776c79200a20646520756e6120706572736f6e61200a200920746f206d6f766520717569636b6c7920746f206d6f766520717569636b6c79200a20646963686f20646520756e6120636f736120646963686f20646520756e6120706572736f6e61200920746f200920766572622076657262200a2053200920746f2009206e6f756e206e6f756e200a20646520756e6120746f206d6f7665200920646963686f20502009207665726220092076657262200a2076657262200a2053200a2053200920746f20646963686f20646520502009206e6f756e2009206e6f756e200a206e6f756e200a2053200920746f206d6f76652053200920646963686f205020092076657262200a20092076657262200a20532076657262200a20532009200920646963686f20646520502009206e6f756e200a2009206e6f756e200a2053206e6f756e200a205320092053200920746f206d6f7665200a2053200920646963686f20646963686f20646520756e612053200920646963686f206465200920646963686f20646520756e6120502009200a205320532009200a205420542009200a20532009200a2054200920	
DICTIONARY_SHA256	fd03c5c26463304a9bb8fcf5dd824eb732e3272ed3de4004dc7bdb7c9313a99f	
entrada tipica con varias acepciones	3593410a80300c04cfed2bf20eefde05fdc0a2410bb52d49fa7f538ab73d643703c96e6190c53d8c15a24c82962ebc5c8c6706e57efb2782aa498d6b182d48951ea8813288d5af57108fe0a0d28b67fd04992cf1dbea4226287a7677ca1c6c509d8a339a72fc00	P\tverb\nS\tmoverse rapidamente de un lugar a otro\nE\tcorrio hasta la esquina\nT\tto run\nS\tdicho del tiempo: transcurrir\nT\tto pass\nT\tto elapse\n
sin part of speech	0be604a92acecf4954484c4e2d48ce04970a398929895c00	S\tuna sola acepcion pelada\n
sin ejemplos ni traducciones	0be004d9c615cc999a929996999c99af50905894a890919894599258c40500	P\tnoun\nS\tedificio para habitar\n
acentos y caracteres no ASCII	0be004d9c615cc9997797863be8ec2e1854549f9393a0a89c9c9998737e7e928049714251e9e9faaa3f06cfad26773d6bc58358fcb9533354701ac5e21b5b8e4f04285d43c05a008442b5708677246664e0a1700	P\tnoun\nS\tniño, árbol, acción, Straße, 日本語\nE\tel niño está en el árbol\nT\tchild\n
muchas acepciones	0be04c4cc94a4d2ec92c4be50ae64c4c4e2d48ce0426debcd2dcd4a27c0543ae10cee2d4bce254200b53d6082e6b8445d6182e6b8c45d6042e6b8245d6142e6b8a45d60c2e6b8645d61c2e6b8e45d6022e6bc10500	P\tadjective\nS\tacepcion numero 1\nT\tsense 1\nS\tacepcion numero 2\nT\tsense 2\nS\tacepcion numero 3\nT\tsense 3\nS\tacepcion numero 4\nT\tsense 4\nS\tacepcion numero 5\nT\tsense 5\nS\tacepcion numero 6\nT\tsense 6\nS\tacepcion numero 7\nT\tsense 7\nS\tacepcion numero 8\nT\tsense 8\n
tabs y saltos en la fuente se sanean a espacios	0be004b98c2b983319986481d696242629548218c5893925f95cae9c29f9c50ac5a9e9a59940061700	P\tverb\nS\tcon un tab y un salto\nE\tdos seguidos\n
sinonimos y antonimos en la misma acepcion	3592210e80300c4575770aae82c093a0900dfb9091c192d2711f2402c51176313a81fa2faf6945f37b62bf62d270c20d644b8acd9ecc9a851b449cecd97584d8f092cd1c5a2e6b670cd8156e2416ffa3965724f8e45a9aa53c359772c76a06c29e56361a69ce12d251a77666abee03	P\tadjective\nS\tde temperatura elevada\nE\tel agua está caliente\nY\tardiente\nY\ttórrido\nA\tfrío\nA\tgélido\nS\tenojado\nY\tfurioso\nA\tcalmado\n
una entrada flaca con relacionadas	0be004d9c615cc999b987b786d5a6a513e28ed1d5e99939992af505c9a92989b5a94999c9897cf15c999519a9897989ccf15c409570264976526971ede980864e5e424e626720100	P\tnoun\nS\tmamífero camélido sudamericano\nY\thuanaco\nR\tcamélido\nR\tvicuña\nR\tllama\n
